Product,Location,Category,Season,Deal Y/N,Sharks,Asking Amount,% Equity (Asking),Invested Amount,% Equity (Deal),Deal Type
Wildwonder - Probiotic Drinks,"South San Francisco, California",Food & Drink,14,Deal,Tony Xu,"$500,000",5.0%,"$500,000",6.0%,E
Youthforia - Sustainable Makeup,"San Francisco, California",Beauty & Health,14,Deal,Mark Cuban,"$400,000",5.0%,"$400,000",8.0%,E
Noshi - Food Paint for Kids,Greater New York City Area,Food & Drink; Kids & Toys,14,Deal,Mark Cuban,"$250,000",17.0%,"$250,000",25.0%,E
Ghia Non-Alcoholic Aperitif,"Los Angeles, California",Food & Drink,14,No Deal,—,"$250,000",5.0%,—,—,—
FRSH - Car Air Freshener,"South Gate, California",Automotive & Industrial,14,Deal,Barbara Corcoran,"$200,000",5.0%,"$200,000",20.0%,E
Bleni Blends - Smoothie Vending Machine,"Philadelphia, Pennsylvania",Tech & Electronics,14,Deal,"Lori Greiner, Daniel Lubetzky","$250,000",6.0%,"$750,000",35.0%,—
Ready Festive - Holiday Decorations,"San Francisco, California",Home & Tools,14,Deal,Robert Herjavec,"$250,000",10.0%,"$250,000",18.0%,E
FunkkOFF! - TeethRefreshers,"Dana Point, California",Beauty & Health,14,Deal,Robert Herjavec,"$250,000",5.0%,"$250,000",12.0%,E
"Big Bee, Little Bee","Huntington Beach, California",Kids & Toys,14,No Deal,—,"$100,000",20.0%,—,—,—
Cabinet Health - Sustainable Healthcare,"New York City, New York",Beauty & Health,14,Deal,"Tony Xu, Kevin O'Leary","$500,000",2.0%,"$500,000",7.0%,—
Big Mouth Toothbrush,"Brooklyn, New York",Beauty & Health,14,Deal,Barbara Corcoran,"$150,000",10.0%,"$150,000",20.0%,—
Expedition Subsahara,"St Louis, Missouri",Home & Tools,14,No Deal,—,"$500,000",10.0%,—,—,—
ActionGlow - LED Lighting System,"Traverse City, Michigan",Sports & Outdoors,14,Deal,Robert Herjavec,"$200,000",15.0%,"$200,000",30.0%,E
Happi Floss,"Portland, Oregon",Beauty & Health,14,No Deal,—,"$200,000",10.0%,—,—,—
Kent Underwear,"Los Angeles, California",Clothing & Accessories,14,Deal,Daymond John,"$200,000",5.0%,"$200,000",15.0%,E
ZipString - String Toy,"Johns Creek, Georgia",Kids & Toys,14,Deal,"Robert Herjavec, Kevin O'Leary","$100,000",10.0%,"$100,000",20.0%,E
Retold Recycling,California,Service,14,Deal,Mark Cuban,"$300,000",15.0%,"$300,000",25.0%,E
Collars & Co. - Dress Collar Polo,"Bethesda, Maryland",Clothing & Accessories,14,Deal,"Mark Cuban, Peter Jones","$300,000",4.0%,"$1,000,000",10.0%,—
Nopalera - Bath & Body Botanicals,"New York, New York",Beauty & Health,14,No Deal,—,"$300,000",5.0%,—,—,—
Pluie - Diaper Changing Table,"Chicago, Illinois",Kids & Toys,14,No Deal,—,"$500,000",5.0%,—,—,—
Woosh - Smart Air Filter,"San Francisco, California",Home & Tools,14,Deal,Kevin O'Leary,"$500,000",10.0%,"$500,000",10.0%,—
Legacy Shave - Shave Brush,"Royal Oak, Michigan",Beauty & Health,14,Deal,Lori Greiner,"$300,000",10.0%,"$700,000",95.0%,—
The Ice Cream Canteen,"San Francisco Bay Area, California",Home & Tools,14,Deal,"Lori Greiner, Mark Cuban","$100,000",5.0%,"$300,000",20.0%,—
Oogiebear - Baby Care Products,"Potomac, Maryland",Beauty & Health,14,Deal,"Robert Herjavec, Barbara Corcoran","$400,000",5.0%,"$600,000",10.0%,E
ChessUp - Electronic Chess Board,"Overland Park, Kansas",Entertainment & Arts,14,Deal,Lori Greiner,"$300,000",5.0%,"$300,000",5.0%,—
The Chub Rub Patch - Anti-Chafe Patch,"Fort Lauderdale, Florida",Beauty & Health,14,No Deal,—,"$200,000",30.0%,—,—,—
Banana Phone - Bluetooth Handset,"Buffalo, New York",Tech & Electronics,14,No Deal,—,"$250,000",10.0%,—,—,—
Square Keg - Portable Keg,"Spokane, Washington",Home & Tools,14,Deal,Kevin O'Leary,"$300,000",10.0%,"$300,000",20.0%,E
Nutr - Nut Milk Maker,"Columbus, Ohio",Home & Tools,14,No Deal,—,"$500,000",5.0%,—,—,—
Flated - Inflatable Automobile Accessories,"Carlsbad, California",Automotive & Industrial,14,Deal,Daymond John,"$350,000",5.0%,"$350,000",0%,—
Plufl - Human Dog Bed,"Seattle, Washington",Home & Tools,14,Deal,"Lori Greiner, Mark Cuban","$200,000",10.0%,"$200,000",20.0%,E
HummViewer - Hummingbird Feeder Mask,"Loveland, Colorado",Home & Tools,14,Deal,Daniel Lubetzky,"$75,000",10.0%,"$75,000",35.0%,E
Parting Stone - Solidified Remains,"Santa Fe, New Mexico",Service,14,Deal,"Kevin O'Leary, Lori Greiner","$400,000",5.0%,"$400,000",10.0%,—
Pizza Pack - Collapsible Pizza Container,"Aurora, Oregon",Home & Tools,14,Deal,Lori Greiner,"$100,000",10.0%,"$100,000",13.0%,E
Garage Celebrations - Garage Door Cover,"Rancho Palos Verdes, California",Home & Tools,14,Deal,Mark Cuban,"$200,000",20.0%,"$200,000",30.0%,E
